Title,Vanishing Subject,Subject Multiplication/Reduction,Temporal Subject Dysmorphia,Omission Error,Physical Incongruity
dataset/animatelcm/A man and woman wearing skis on a ski slope.mp4,0,0,0,1,0
dataset/animatelcm/A man scooping food into a pan.mp4,1,0,0,0,0
dataset/animatelcm/2 bowls of fruit sit on a table.mp4,0,1,0,0,0
dataset/animatelcm/White clock tower with three flags on top.mp4,0,1,0,0,0
dataset/animatelcm/3 people smile in the airport amongst a crowd.mp4,0,0,1,0,0
dataset/animatelcm/A woman giving a presentation in a park.mp4,0,0,1,0,0
dataset/animatelcm/A black cat eating from a plate on a street curb.mp4,0,0,0,1,0
dataset/animatelcm/A frisbee player throws the frisbee across the grass.mp4,1,0,0,0,0
dataset/animatelcm/A airplane flying low in the sky.mp4,0,0,0,0,1
dataset/animatelcm/a animal that is walking in a crowd of people.mp4,0,0,0,0,1
dataset/animatelightning/A road has many traffic signals on it as well as a vehicle.mp4,1,0,0,0,0
dataset/animatelightning/Slices of orange are arranged on a plate.mp4,1,0,0,0,0
dataset/animatelightning/Three cats and a teddy bear on a floor.mp4,0,1,0,0,0
dataset/animatelightning/Eleven apples packed inside a cardboard shipping box.mp4,0,1,0,0,0
dataset/animatelightning/A person is surfing inside of a wave.mp4,0,0,1,0,0
dataset/animatelightning/Zebras grazing on green grass in a zoo enclosure.mp4,0,0,1,0,0
dataset/animatelightning/Banner indicating Olympics above a brick wall in city.mp4,0,0,0,1,0
dataset/animatelightning/A handwritten note is attached to a parking meter.mp4,1,0,0,0,0
dataset/animatelightning/Tennis player attempting to hit an incoming ball.mp4,0,0,0,0,1
dataset/animatelightning/Black and white photo of a long train.mp4,0,1,0,0,0
dataset/animatemotionadapter/A woman holding a pair of scissors near her hair.mp4,1,0,0,0,0
dataset/animatemotionadapter/A baseball player holding a baseball bat off the field.mp4,1,0,0,0,0
dataset/animatemotionadapter/FOUR SHEEP IN AN ENCLOSURE WITH SNOW AROUND THEM.mp4,0,1,0,0,0
dataset/animatemotionadapter/Red apple and yellow banana sitting next to each other.mp4,0,0,0,0,1
dataset/animatemotionadapter/A man in green shirt in dirt area flying a kite.mp4,0,0,1,0,0
dataset/animatemotionadapter/Woman expressing joy at outdoor bench near populated area.mp4,0,0,1,0,0
dataset/animatemotionadapter/some traffic turning left on a busy street.mp4,0,0,0,1,0
dataset/animatemotionadapter/Wooden kitchen cabinets and drawers with stainless steel top.mp4,0,0,0,1,0
dataset/animatemotionadapter/A person is surfing inside of a wave.mp4,0,0,0,0,1
dataset/animatemotionadapter/A person is surfing inside of a wave.mp4,0,0,0,0,1
dataset/magictime/A baby is being feed fruit from a container.mp4,0,0,0,1,0
dataset/magictime/A man throwing a frisbee into a frisbee golf basket.mp4,1,0,0,0,0
dataset/magictime/7 jars full of grain with rotten bananas hanging over.mp4,0,1,0,0,0
dataset/magictime/A bus window that has people on different bikes.mp4,0,1,0,0,0
dataset/magictime/A black cat playing on top of a wooden chair.mp4,0,0,1,0,0
dataset/magictime/A boy and a girl putting pizza on plates.mp4,0,0,1,0,0
dataset/magictime/A softly lit hotel room featuring two beds.mp4,0,0,0,1,0
dataset/magictime/A softly lit hotel room featuring two beds.mp4,0,0,0,1,0
dataset/magictime/black and white cat wearing a red scarf.mp4,0,0,0,0,1
dataset/magictime/Boy jumping off a ramp with a skate board.mp4,0,0,0,0,1
dataset/hotshotxl/A busy street with some cars driving by.mp4,1,0,0,0,0
dataset/hotshotxl/Baseball game with player about to swing and umpire on his left.mp4,0,0,1,0,0
dataset/hotshotxl/A baby pressing a key on a laptop.mp4,0,1,0,0,0
dataset/hotshotxl/A happy adult holding two large donuts.mp4,0,1,0,0,0
dataset/hotshotxl/A baby is smiling with a teddy bear.mp4,0,0,1,0,0
dataset/hotshotxl/Cats sitting near other on a modern carpet.mp4,0,0,1,0,0
dataset/hotshotxl/a baby polar bear walking down a fake igloo and into the water.mp4,0,0,0,1,0
dataset/hotshotxl/A man eats a large burger and french fries.mp4,0,0,0,1,0
dataset/hotshotxl/Blue and white truck parked next to an open building.mp4,0,0,0,1,0
dataset/hotshotxl/Dogs comfortably lazing on their colorful rolling bed.mp4,0,0,0,0,1
